question,answer
What is the number of electrons equal to in every electrically neutral atom?,protons
The primary application of biotechnology is in what field?,medicine
Green cyanobacteria on a lake produce food through what process?,photosynthesis
"Which type of glaciers form several unique features through erosion, including cirques, arêtes, and horns?",valley glaciers
What scientist created the modern system for classifying organisms?,linnaeus
What is a common chemical substance on planet earth?,water
The duodenum has a major role in regulating what digestive organ and its emptying?,stomach
What is the source of most of the energy used?,the sun
What can be used to determine the mass of a quantity of material?,molar masses
Liquefaction ccurs when the molecules of a gas are cooled to the point where they no longer possess sufficient kinetic energy to overcome what?,intermolecular attractive forces
"What are the long, thin structures that protrude from the cell membrane and help single-celled organisms move or swim towards food?",flagella
The mild oxidation of thiols gives compounds called what?,disulfides
Digestive enzymes secreted in the acidic environment (low ph) of the stomach help break down what?,proteins
Maintaining a high metabolic rate takes a lot of what?,energy
What helps frogs swim during the tadpole phase?,a tail
"What incredibly successful species has quickly colonized almost all of earth’s terrestrial habitats, but also impacted earth, its climate, and its environment?",humans
A non-bony skeleton that forms outside of the body is known as a what?,exoskeleton
Medical problems associated with the body responding poorly to insulin are commonly associated with what disease?,diabetes
What is the outermost occupied shell of electrons in an atom.,valence shell
Every peripheral nerve is connected directly or indirectly to what?,the spinal cord
What is the term for species evolving together?,coevolution
What are the specfic types of proteins that determine your blood type called?,antigens
What simple machine works with a wheel and axle in a wheelbarrow?,lever
What do you call the ability of a particular electrochemical cell to generate an electric current?,electrical potential
"If the temperature of a gas sample is decreased, what happens to the volume?",decreases
What structure is found at the top of the head of the sperm that helps it penetrate and fertilize the egg?,acrosome
Cell communication that occurs over short distances is known as what?,paracrine signaling
What is the relationship of multiple action potentials from a single cell resulting in a significant change in the membrane potential?,temporal summation
What are metals and good electrical conductors that tend to lose their valence electrons in chemical reactions called?,reductants
What type of seed-bearing structure of a flowering plant usually develop into?,fruit
"Where a cell resides, how it appears, and what it does define its what?",development fate
What is established by the ph differences between the two sides of the blastoderm cells?,dorsal-ventral axis
"The combined gas law involves three properties of a gas - volume, absolute temperature, and what?",pressure
What organ eliminates solid wastes that remain after the digestion of food?,the large intestine
What kind of weather change do la nina years usually bring?,drought
The vagina connects to which internal organ?,uterus
"The surfaces of the bones at the joints are covered with a smooth layer of cartilage, which reduces what force between the bones when they move?",friction
"Slime molds have several morphological similarities to fungi, including spore-generation, that are thought to be the result of convergent what?",evolution
What is the term for the length of the route between two points?,distance
"Parenchymal, collenchymal, and sclerenchymal cells are associated with what types of living things?",plants
What is the single bone that forms the posterior skull and posterior base of the cranial cavity?,occipital bone
Who discovered that the andromeda nebula is over 2 million light years away,edwin hubble
What is the change in a species over time?,evolution
What type of muscle makes up most of the heart?,cardiac muscle
The ocean is the largest marine biome. it is a continuous body of salt water that is relatively uniform in chemical composition; it is a weak solution of mineral salts and decayed what?,biological matter
What causes high winds and monsoon storms in the desert?,high summer temperature
"Experiments have shown that acceleration is exactly inversely proportional to mass, just as it is exactly linearly proportional to what?",net external force
"Characterized by uncontrolled growth, cancerous cells are also called what?",malignant
Plant-like protists are autotrophs capable of what process?,photosynthesis
Enzymes in cellular reactions work to do what to the reaction?,speed it up
Traits inherited in mendelian patterns are either?,dominant or recessive
Electrons in inner shells are called what?,core electrons
Gap genes are defined by the effect of what in that gene?,mutation
What does an electric field surround?,a charged particle
How do birds learn to avoid eating monarch butterflies?,conditioning
Dentists occasionally use metallic mixtures called amalgams for what?,fillings
What are animals that live with tiny zooxanthellae that also photosynthesize?,coral
"What kind of water are cattails adapted for with narrow, strap-like leaves?",moving water
What are the two most common causes of diseases?,bacteria and viruses
What is hole that is dug or drilled through the ground down to an aquifer?,well
"If heat is released by the system into the surroundings, a chemical reaction or physical change is called what?",exothermic
What forms when nitrogen and oxygen combine at high temperatures?,nitrogen oxide
A lipid is one of a highly diverse group of compounds made up mostly of what?,hydrocarbons
What is the term for a theoretical framework for describing evolutionary change in populations through the change in allele frequencies?,population genetics
"When magma reaches the surface through cracks in the earth's crust, what occurs?",volcanic eruption
What alloy is made from copper and zinc?,brass
"Different elements differ in the size, mass, and other properties of what fundamental structures?",atoms
"Culprits in the common cold and aids, what infectious agents are far smaller and simpler than bacteria?",viruses
Algae are similar to plants in that they both produce their food through what process?,photosynthesis
An object with more mass has greater thermal energy than an object with less mass because it has more what?,atoms
"Objects moving at different speeds, in different directions have different what?",velocities
"Many innovative farming methods can prevent what type of erosion, which is especially important in agriculture?",soil erosion
What is group 16 of the periodic table referred to?,oxygen group
What is used to measure air pressure?,barometer
Pepsin and trypsin are examples of enzymes involved in what bodily process?,digestion
The minimum amount necessary for self-sustained fission of a given nuclide is called what?,its critical mass
"When we neutralize a weak base with a strong acid, the product is ________ containing the conjugate acid of the weak base.",salt
Silencing genes through epigenetic mechanisms is commonly practiced on what type of uncontrolled cells?,cancer cells
"What animal group can be found in every environment on earth, but primarily in the warm and moist tropics?",insect
What is another word for saturated hydrocarbons?,alkanes
What kind of mountainous formation can often be found near trenches?,volcanoes
What do all chemical reactions need to get started?,activation energy
A boiler converts the chemical energy stored in fuel into what type of energy?,thermal energy
What type of bonds do alkanes only contain?,carbon-carbon single bonds
Name what nutrient cycling is strongly regulated by.,vegetation
What are reversible physical changes in matter called?,changes of state
What sorts of collisions do not result in an overall loss of kinetic energy?,elastic
The ability of a water spider to walk across a body of water is an example of what?,surface tension
The two general functions of roots in plants are to anchor and to do what else?,absorb
What do scientists use to search other planets suitable for living?,telescopes
The fetal stage begins about how long after fertilization?,two months
How many directions can ions flow along the axon?,one
Solids can be divided into amorphous solids and which other group?,crystalline solids
What is the“packet” of energy called that the nucleus emits during gamma decay?,gamma particle
What is the main reason for weather change?,moving air masses
What is the term for an antibody that inappropriately marks self-components as foreign?,autoantibody
What kind of energy constitutes the total kinetic energy of all the atoms that make up an object?,thermal energy
What forms when oceanic crust subducts into the mantle at convergent plate boundaries?,volcanic mountain ranges
"In a scientific experiment, the variable that is affected by the other one is called what?",dependent variable
Which term literally means 'spore in a vessel'?,sporangia
What state occurs when the amount of solute dissolved exceeds the solubility?,supersaturation
What do osteoblasts secrete that mineralizes to become bone matrix?,collagen
What do dendrites receive signals from?,neurons
What form of radiation is the energy emitted by the sun?,electromagnetic
"Similar to the coil on a stove, changes in what reflect an increase in the temperature of a star?",color
Carbon atoms are bonded to as many hydrogen atoms as possible in what type of fatty acids?,saturated
What type of response do signal transductions within target cells bring about?,physiological
What are the key cells of an immune response?,lymphocytes
What was the first antiseptic called?,phenol
Who coined the term natural selection?,darwin
Fish and other aquatic organisms use gills to capture dissolved what?,oxygen
What is the principal cell of connective tissues?,fibroblast
How long can carbon be stored in sedimentary rock?,millions of years
What force provides resistance whenever two surfaces are in contact?,friction
What is the name of the life stage when a child becomes sexually mature?,puberty
"Meters, such as those in analog fuel gauges on a car, are a common application of magnetic torque on a current-carrying what?",loop
What controls earth's magnetosphere?,magnetic field
A reptile's what doesn't generate enough energy to keep their body temperature stable?,metabolism
"What kind of compound, contained in coffee and alcohol, increases urine volume?",diuretic
"Chromatin condenses into chromosomes during prophase, the first and longest phase of what process?",mitosis
The logistics of carrying out cellular metabolism sets limits on what physical property of the cell?,size
What type of wave is visible light?,electromagnetic
What is the first stage of cellular respiration called?,glycolysis
Microevolution occurs in a population when what frequencies change over time?,allele
Proteins include 20 common types of what compounds?,amino acids
What does the triploid cell develop into during fertilization?,endosperm
"What is the term for  tough, flexible connective tissue that contains the protein collagen?",cartilage
What kind of muscle relationship generally produces back-and-forth movement of a body part?,antagonistic muscles
The nervous system is made up of these?,neurons
What is a condition in which a material called plaque builds up inside arteries?,atherosclerosis
Plasmodesmata passes through what part of plants?,cell walls
Where do germline mutations occur in?,in gametes
The law of conservation mass states that matter cannot be created or what?,destroyed
Intrusive igneous rocks cool from magma slowly in the crust and have large what?,crystals
The layers of the atmosphere correspond with what changes with altitude?,temperature
Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,carbohydrates
How long are microfilaments?,7 nm
What do communication satellites carry and use to provide energy during their missions?,solar panels
What amazing machines smash particles that are smaller than atoms into each other head-on?,particle accelerators
The primary role of leaves is to collect what?,sunlight
Which organ is the control center of the nervous system?,the brain
What forms when water in the atmosphere condenses on dust particles suspended in the air?,clouds
The electroplating process transfers metal from the anode to which part of the cell?,cathode
"Because they are charged (polar), these ions do not diffuse through what?",membrane
"For each initial glucose molecules, two pyruvate molecules will enter where?",the mitochondria
What types of flat maps show users changes in land elevation?,topographic maps
What flows like taffy or hot wax?,molten rock
"The brain and spinal cord are part of what system, which serves as a control center?",central nervous system
Varicose veins are veins that become enlarged because the valves no longer do this?,close properly
Scientists measure the gases that escape from a volcano to predict what?,eruptions
What term is used to describe muscle fibers that allows muscles to contract?,organelle
What kind of electricity can you generate with the energy found in flowing water?,hydroelectric power
What enthalpy change is observed in an exothermic reaction?,negative
What can alkenes and alkynes be reduced with to form alkanes?,hydrogen gas
"Bacterial contamination of foods can lead to digestive problems, an illness known as what?",food poisoning
What is a group of similar ecosystems with the same general abiotic factors and primary producers?,biome
An oxy-acetylene torch is an effective way to cut what?,metal
What is the science of classifying living things is called?,taxonomy
Microevolution occuring and taking place over many generations results in?,macroevolution
Chewing insects such as dragonflies and grasshoppers have how many sets of jaws?,two
In which kind of species do open circulatory systems serve additional functions?,some invertebrates
What elements do lipids primarily consist of?,"carbon, hydrogen, and oxygen"
What in hemoglobin gives red blood cells their red color?,iron
Nitrogen and sulfur oxides form what type of rain?,acid rain
"What are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts?",electromagnets
What should you let liquid waste do before placing the container in the trash?,evaporate
"In the lungs, oxygen diffuses out of the alveoli and into where?",capillaries
Which part of the wave helps make the wave bend and cause refraction?,shallow part
What eliminates food wastes that remain after digestion takes place?,large intestine
Carefully controlling the speed of a fission reaction produces what kind of energy?,nuclear
"Although they differ vastly in hardness, pencil lead and diamonds both contain what element?",carbon
What are single-celled or colonial organisms that do not have membranebound nuclei?,prokaryotes
"What control reproductive cycles, which are in turn regulated by environmental cues?",hormones
What do you call elements that contain only atoms of one type of element?,native elements
What are the secretions released by the endocrine glands called?,hormones
Animals need plants for food and?,energy
What term refers to any method of removing carbon dioxide from the atmosphere and storing it in another form?,carbon sequestration
The primary hormones derived from lipids are what?,steroids
Meiosis and mitosis are both preceded by one round of what?,dna replication
What is the sum total of all body reactions?,metabolism
"The colorless, odorless gas released when we breath is carbon dioxide. the harmful colorless, odorless gas released when matter is burned is what?",carbon monoxide
"What model of the atom features an electron orbiting a nucleus, forming a closed-current loop and producing a magnetic field with a north pole and a south pole?.",planetary model
What happens to a tectonic plate when it subducts?,it melts
What do you call it when adult fish of the same species come together in a group and release gametes into the water at the same time?,spawning
The primary function of leaves is to collect sunlight and make food by what process?,photosynthesis
What simple sugar is the cell's primary source of energy?,glucose
"Bar, circle, and line are all types of what?",graphs
"In some plants, the sporophyte is diploid, while the gametophyte is what?",haploid
"Water molecules are polar, so they form what type of bonds?",hydrogen
"Coal, oil and natural gas are types of what formed from the remains of once living organisms?",fossil fuels
"Because action potentials are so brief, a neuron can produce hundreds per what?",second
"Plants are described by what term, meaning their cells have a nucleus and membrane-bound organelles?",eukaryotic
What type of feeders are sea lilies and feather stars?,suspension feeders
Where does most geologic activity take place?,plate boundaries
Systems are in thermal equilibrium when they have the same of what measurement?,temperature
"What type of mammals includes opossums, kangaroos, and koalas?",marsupials
"In chemical reactions, what substances can act like metals or nonmetals, depending on their number of electrons?",metalloids
"The three main rock types are igneous, metamorphic, and what?",sedimentary
"Liquids that mix with each other in all proportions are said to be miscible, maning they have infinite mutual what?",solubility
What is the distance that sound waves travel in a given amount of time called?,speed of sound
"Over time, deposited sediments may harden into what?",rocks
What type of behavior is most flexible?,learned behavior
Regulatory proteins bind to regulatory elements to control what?,transcription
Traits that are affected by more than one gene are what type of traits?,polygenic traits
Conifers are the most prevalent type of what plant group?,gymnosperms
Translucent matter is matter that transmits and does what else to light?,scatters
Groups of related organs form what?,organ systems
The process of moving from areas of high amounts to areas of low amounts is called what?,diffusion
Crossover occurs between non-sister chromatids of which chromosomes?,homologous
"What is the term for when two opposing processes reach the same speed, resulting in no overall change?",equilibrium
The magnet field of earth is called what?,magnetosphere
What is the term for vascular plants that reproduce with seeds?,seed plants
"Each root is made of dermal, ground, and what type of tissue?",vascular
What do we call the theory of electromagnetism on the particle scale?,quantum electrodynamics
When do end portions of two nonsister chromatids trade places?,at every crossover
Gases on earth originated from comets and what events?,volcanic eruptions
All chemical reactions require what to get started?,activation energy
The food particles are caught by the collar of the choanocyte and brought into the cell by what process?,phagocytosis
Rudolf virchow developed the hypothesis that cells only come from other cells in what year?,1858
The name of which ion always comes first?,positive ion
"Along with nerve tissue, what kind of tissue are lecithins and cephalins important constituents of?",brain tissue
Introduction of antigens into the body through immunization can confer what benefit?,active immunity
"Extended stays in zero gravity are not healthy for human beings. thus, for the comfort of the astronauts, the station is rotated so that the astronauts feel there is what?",internal gravity
What is a germ cell that divides into gametocytes during gametogenesis?,gametogonium
What must people with type 1 and type 2 diabetes frequently check?,blood glucose levels
"The ordovician-silurian extinction event is the first recorded mass extinction and the second largest. during this period, about what percent of marine species went extinct?",85 percent
Motor vehicles account for almost half of the consumption of what?,fossil fuel
A muscle can return to its original length when relaxed due to a quality of muscle tissue called what?,elasticity
In what part of the carbon cycle does carbon move between living things and the air?,biotic cycle
What types of glands do only female mammals have?,mammary
"What is the ability of an atom to emit, or give off, charged particles and energy from the nucleus?",radioactivity
"When a glacier no longer moves, what is it called?",an ice sheet
"Strong bands of dense, regular connective tissue that connect muscles to bones are called what?",tendons
What bodily function do the triceps help perform?,extend the arm
Land could not be colonized by other organisms until what became established?,plants
"A fundamental particle of matter, protons and neutrons are made of these?",quarks
On which ridge does iceland sit?,mid-atlantic ridge
"The dead, dry stratum corneum is the most superficial layer of what and is the layer exposed to the outside environment?",epidermis
Europa and titan are names of what kind of celestial objects?,moons
"In the radiative zone, light particles called what can only travel a few millimeters before they hit another particle?",photons
What type of bonds only form in metals?,metallic bonds
Where can you find sodium acetate?,a heat pack
What artificial process involves making an exact copy of a gene?,gene cloning
Regulation of the reproductive system is a process that requires the action of hormones from which gland?,pituitary gland
"Lungs, pharynx, larynx, trachea, and bronchi are part of which system?",respiratory
"In a liquid, the particles are still in close contact, so liquids have a definite what?",volume
What is caused by human actions that releases chemical substances and particles into the air?,air pollution
"What subphylum, which includes crabs and crayfish, represents the dominant aquatic arthropods?",crustaceans
What mineral that occurs in bones helps combat osteoporosis?,calcium
What can occur when one end of a small diameter tube is immersed in liquid?,capillary action
Which kind of mutations have the most dramatic effect on proteins?,nonsense mutations
What type of interspecies relationship involves one party being actively harmed?,parasitism
Reactant concentrations are highest at which part of a reaction?,beginning
"In humans, the first sites used for energy storage are liver and what else?",muscle cells
The bones of the newborn skull are not fully ossified and are separated by large areas called what?,fontanelles
What do most amphibians breathe with as larvae?,gills
A reference point is used in measurement to make what?,estimation
Which waterfall series is the largest on the planet?,iguassu falls
Ocean water releases dissolved carbon dioxide into the atmosphere when what happens to the temperature?,it rises
Cells in a biofilm secrete what to recruit nearby cells?,signaling molecules
"Many ionic compounds with relatively large cations and a 1:1 cation:anion ratio have this structure, which is called the what?",cesium chloride structure
"Molds, pollen, and pet dander are examples of air pollution with what type of source?",biological
"Along with other elements, most ores are made of what?",metal
What do plants make to store extra glucose?,starches
What does blood pickup from the lungs to be carried throughout the rest of the body?,oxygen
What fluid is most prevalent in your body?,water
Emphysema is a chronic disease caused by the breakdown of the what tissue?,lung
"Double strands of what wrap around histone proteins to form nucleosomes, which are coiled into a chromatin fiber?",dna
The major component of what cellular structures is the phospholipid bilayer?,cell membranes
What force holds planets in their orbits?,gravity
What is captured by the sticky structure at the top of the style called the stigma?,pollen
What fuels provide most of the energy used worldwide?,fossil
"If pollination and fertilization occur, a diploid zygote forms within an ovule, located where",ovary
The way a mineral cleaves or fractures depends on what part of the mineral?,the crystal structure
What part of a chromosome exists in different states of condensation at different times?,the chromatin
Alkynes are what type of compound?,unsaturated hydrocarbons
Energy is lost as heat between each trophic level due to the second law of what?,thermodynamics
What kind of waves consist of vibrating electric and magnetic fields?,electromagnetic waves
"Where in relation to the home, are levels of vocs found to be higher?",indoors
"Lava erupts through long cracks in the ground, also called what?",fissures
What type of device uses electromagnetic induction to change the voltage of electric current?,electronic transformer
What has  a single voltage source and a single resistor,simple circuit
Scientists often classify or organize different objects based on their what?,physical properties
When does most amphibians' parenting end?,once eggs have been laid
Mass spectrometry today is used extensively in chemistry and biology laboratories to identify chemical and biological substances according to their ratios of what?,mass-to-charge
A constant and plentiful supply of oxygen is required in order to maintain a high rate of what?,metabolism
What part of the rainforest commonly has ferns and other ground plants?,understory
The complete combustion of alkanes to carbon dioxide is an extremely __________ reaction.,exothermic
"Which division of the autonomic nervous system controls processes like digestion, heartbeat, and breathing?",parasympathetic
What is the shape of the orbits that planets make around the sun?,elliptical
Soil that forms in place over a very long period is called what?,residual soil
The point in front of a mirror where the reflected rays intersect is known as what?,focal point
What type of current carries warm air from surrounding rocks to an animal's body?,convection
What is a feature that prokaryotes lack?,nucleus
The elements in group 2 are called what?,alkaline earth metals
What lens shape corrects myopia?,concave
What kind of reproduction produces genetically identical organisms or clones?,asexual
Overharvesting is a serious threat particularly to which species?,aquatic species
"Dominant alleles rarely cause what type of disorders, since the mutant allele is likely to die out of the population?",genetic disorders
"The actual amount (mass) of gasoline left in the tank when the gauge hits “empty” is a lot less in the summer than in the winter. the gasoline has the same volume as it does in the winter when the “add fuel” light goes on, but because the gasoline has expanded, there is what?",less mass
What measures the force of gravity pulling on an object?,weight
A wall of rocks or concrete that juts out into the ocean perpendicular to the shore is called?,groin
Which leukocytes are first to respond to bacterial infections?,neutrophils
What do we call the force of attraction or repulsion between electrically charged particles?,electromagnetic force
"What do you call the energy that must be overcome in order for a chemical reaction to occur, or the minimum energy required to start a chemical reaction?",activation energy
What is the name of the tube that joins the mouth to the digestive and respiratory tracts?,pharynx
What might a scientist do to confirm the work of another?,replicate their work
Geysers are created when what is heated beneath the earth's surface?,water
"The term ""environment of deposition"" is useful for understanding the characteristics of what type of rock?",sedimentary
About one-fourth of the blood pumped with each heartbeat enters arteries serving what organs of digestion?,intestines
Light has the properties of both a wave and what else?,particle
"What  are formed when primary pollutants interact with sunlight, air, or each other?",secondary pollutants
What term describes waves that transfer energy through matter?,mechanical waves
What measures the amount of water in the air?,humidity
Getting the same result when an experiment is repeated is called what?,replication
What is beneath the cerebrum and includes the thalamus and hypothalamus?,diencephalon
What are the most common dietary lipids?,triglycerides
"What travels at a rate of 300,000 kilometers per second, or nearly instantaneously?",light
Intestinal cells combine with proteins to create what?,chylomicrons
What is glucose used for the bacteria?,food
What does some amphibians have as juveniles but not as adults living on land?,lateral line system
"Elements below the second period, such as silicon, do not form what as readily as second-period elements, and when they do form, they are weaker than those formed by second-period elements?",n bonds
The development of a head region is called what?,cephalization
Shrimp are an example of what group within the arthropods?,crustaceans
What are the ends of long bones called?,epiphysis
Chromosomes further condensed in which stage?,diakinesis stage
Porifera are parazoans that exhibit simple organization and lack true what?,tissues
Kinetic and potential are two forms of what?,energy
"When the energy of the earthquake reaches shore, it forms a huge wave called?",a tsunami
What is the most common type of volcano?,cinder cone
What causes halide minerals to form?,salt water evaporation
Radon is inert and generally unreactive because it is which kind of gas?,noble gas
What system of the body is generally responsible for breathing?,respiratory system
What is defined as superheated gas with a positive electrical charge?,plasma
What is the name for the water-splitting step of photosynthesis?,photolysis
What causes cancer cells to avoid elimination and continue to multiply?,uncontrolled cell division
What is oceanography the study of?,oceans
Matching donor and recipient blood types is important because different blood types have different types of what?,antibodies
What branch of science deals with the effects people have on the environment?,environmental science
"The duodenum, the jejunum, and the ileum are the main regions of which organ?",small intestine
What is the basic unit of structure and function of living things?,cell
What contracts to move food throughout the gastrointestinal tract?,muscles
What do you call vesicle transport into the cell?,endocytosis
What is a rock exposed to if it's undergoing metamorphism?,heat and pressure
"When calculating impulse, consider the change in _______ of one of the objects in the collision?",momentum
"What is used for the fermentation process that makes beer, wine, and bread?",yeast
What will be the effect to an organism if its homeostasis is not maintained?,death or disease
What are variants of genes called?,alleles
What is the health-threatening smoke exhaled by a cigarette smoker or released from tobacco products?,secondhand smoke
What type energy sources emit fewer or no greenhouse gases?,renewable
What kind of beneficial relationships with other organisms are common in the plant kingdom?,mutualistic
An inversion may result when what kind of mass moves over cold ground?,warm air
Which three colors are called the primary colors of light?,"red, green, blue"
What happens to neutral matter when electrons are transferred between objects?,it becomes charged
Where is multiple fission more often observed?,among protists
"Convex lenses are thicker in the middle than at the edges so they cause rays of light to converge, or meet, at a point called what?",focus
"Most oxygen in blood is bound to a protein called what, and carried to the tissues?",hemoglobin
"Catalytic converters used on motor vehicles break down pollutants in what, yielding non-toxic compounds?",exhaust
The reverse process of moving material into a cell is the process of what?,exocytosis
"Stones, infections, and diabetes threaten the health and functioning of what paired organs?",kidneys
"Mineralocorticoids are hormones synthesized by the adrenal cortex that affect what balance, by regulating sodium and water levels?",osmotic
What is a form of matter that has a definite shape and volume?,solid
What are two ways cnidarians are able to reproduce?,asexually and sexually
"Which organ protects the body from injury, water loss, and microorganisms?",skin
"Volcanoes can be active, dormant, or what else?",extinct
"Which season is moist, causing the most thunderstorms?",summer
What group of simple organisms recycles nutrients and has been on earth since long before multicellular life appeared?,prokaryotes
"Structurally, diplomonads have two equal-sized what and multiple flagella?",nuclei
What do you call a device that produces a very focused beam of visible light of just one wavelength and color?,laser
What kind of behavior occurs only after experience or practice and describes most human behaviors?,learned behavior
Atoms of the same element that have different masses are called what?,isotopes
Fruit comes from the ovaries of what types of plants?,flowering
Visible light is part of what spectrum?,electromagnetic spectrum
Images in what type of mirror are reversed left and right but not reversed top and bottom?,plane mirror
Weight is a measure of what force pulling down on an object?,gravity
What happens during the process of digestion?,breakdown of food
Energy that is stored in a person or object is called?,potential energy
"When a meteoroid reaches earth, what is the remaining object called?",meteorite
How do some animals change their depth?,by changing their density
What is the causative agent of sleeping sickness in humans?,trypanosoma brucei
What will you see if you look at a star through a prism?,spectrum
Particles of a gas are constantly moving and bumping into things. this gives gases what?,pressure
Enzymes - proteins which speed up what?,chemical reactions
"Heat and light are forms of what, which refers to the ability to do work?",energy
What gas is expired out of the body during exhalation?,carbon dioxide
The radius of an atom is defined as one-half the distance between the nuclei in a molecule consisting of two identical atoms joined by what?,covalent bond
Type 1 diabetes results in the  pancreas not being able to make what ?,insulin
"Breaking of weak bonds, which tend to form between positive and negative charges, does not require much what?",energy
Organisms that depend on other organisms for food play what role in the food chain?,consumer
Water plus other substances makes what?,solution
The speed of a wave is a product of its wavelength and what else?,frequency
Observations suggest that a force applied to an object is always applied by what?,another object
Inserting copies of normal genes into a patient with defective genes is known as?,gene therapy
Mitochondria are thought to have evolved from what kind of cells?,ancient prokaryotic
"What do you call scientists that study the weather, specifically?",meteorologists
What is the most important element to life?,carbon
"Two kinds of sex hormones are of particular importance in females: progesterone, which prepares the uterus for pregnancy and prevents the further release of eggs from the ovaries during pregnancy, and the estrogens, which are mainly responsible for the development of female secondary sexual characteristics, such as breast development and increased deposition of this?",fat
"Sound navigation and ranging is an acronym for what, which is used to locate underwater objects such as submarines?",sonar
What kind of muscle is responsible for hollow organs contracting?,smooth muscle
Anything that has mass and takes up space is considered what?,matter
"In the nasal cavity, what 2 things trap particles from incoming air?",mucus and hair
What's the term for the period during which women's ovaries stop producing eggs?,menopause
What type of image is formed when light rays diverge in front of a mirror?,virtual
What occurs when waves interact with other waves?,interference
Metabolic pathways are a series of reactions catalyzed by multiple what?,enzymes
"Co 2 , h 2 o, methane, o 3 , nitrous oxides (no and no 2 ), and chlorofluorocarbons (cfcs) are known as what type of gases?",greenhouse gases
What visual property of soil indicates fertility and nitrogen content?,color
In what form do plants and animals store sugar for later use?,storage polysaccharides
What type of state do most fungi spend their lives in?,haploid
The majority of solids are what in nature?,crystalline
What natural destructive element cuts away at rock forming river valleys?,water
"What simple machine consists of two connected rings or cylinders, one inside the other, which both turn in the same direction around a single center point?",wheel and axle
Crossing charges is one method for obtaining what?,subscripts
How many types of mechanical waves are there?,three
"When light meets matter, it may be reflected, transmitted, or what?",absorbed
"Which type of respiration helps organisms generate quick bursts of speed, as opposed to long steady movement?",anaerobic respiration
Chewing a bite of bread mixes it with what and facilitates its chemical breakdown?,saliva
Cephalochordates have a notochord and nerve cord but not a?,backbone
A problem with using food chains to describe ecosystems is that some organisms can feed on or be consumed by species from more than one of what level?,trophic level
"Nearly all protists exist in some type of aquatic environment, including freshwater and marine environments, damp soil, and even snow. several protist species are parasites that infect animals or plants. a few protist species live on dead organisms or their wastes, and contribute to what?",their decay
What type of waste is eliminated from the body through the anus?,solid
"What concept can be applied to biology, because the structure of an organism, or part of an organism, depends on its function?",form follows function
What is the basis of the classification of protists?,traits shared
What is another word for brooding-  keeping eggs warm while the embryos develop?,incubation
What are electromagnetic waves with the longest wavelengths called?,radio waves
What is the unit of evolution?,the population
"In addition to spiral cleavage, protostomes also undergo which other form of cleavage?",determinate
What kind of medical intervention seeks to eradicate diseases like polio and measles?,vaccination
What is the term for cellular eating?,phagocytosis
What organism is at the top of the energy pyramid?,carnivore
The pulmonary artery carries deoxygenated blood into the lungs from this?,heart
What is the term for a technique used to separate out homogeneous mixtures in which one or more solids are dissolved in a liquid?,evaporation
Around what percentage of the earth's surface water is contained in the ocean?,97%
"The sun, stars, moon, planets and comets are all type of what objects?",celestrial
Which proteins bind to the surfaces of microorganisms and are particularly attracted to pathogens that are already tagged by the adaptive immune system?,complement proteins
"Regulated by guard cells, stomata allow what to enter and exit the plant?",gases
Bioluminescence is an example of what type of activity that is carried out by a cell and is precisely coordinated and controlled?,metabolic
Newton realized that the nature of gravity on earth that pulls an apple to the ground could explain the motion of these?,moon and planets
What is it called when currents keep reversing direction?,alternating current
"What is a longitudinal, flexible rod located between the digestive tube and the nerve cord?",the notochord
What is formed when atoms of different elements bond together?,covalent compound
Tuna have been shown to contain high levels of what metal?,mercury
"Every human cell has the same what, and each cell has thousands of them?",genes
Hydrogen gas is generated by the reaction of nitric acid and what else?,elemental iron
"The major classes of living members of this phylum include gastropods, bivalves, and cephalopods?",mollusks
What is the earths crust composed of?,igneuos rock
What term means the amount of a substance required to form a saturated solution in a given amount of solvent at a specified temperature?,solubility
Mammals that lay eggs are called what?,monotremes
What is the term used to describe the liquid that moves through the vessels and includes plasma and the cells and sell fragments called platelets?,blood
Quantities have two parts: the number (how many) and what else?,he unit
What is the center of an earthquake called?,the epicenter
What type of fibers are made mostly of protein in living things?,muscle fibers
The ammonium ion is what type of acid?,brønsted-lowry
What determines the unique sequence for every protein?,gene encoding
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,respiration
What are plants called that grow where you don't want them?,weeds
Some compounds form rigid frameworks called what?,crystals
What term describes the long tube that connects the mouth to the anus?,gastrointestinal tract
A form of carbon in which carbon atoms are arranged in a hollow sphere is known as?,fullerene
How many different ways can molecules pass through a phospholipid membrane?,three
The force that blood exerts upon the walls of the blood vessels or upon the chambers of the heart is known as blood what?,pressure
What is the arrangement of a t-tubule with the membranes of sr on either side called?,triad
What is the ability to be attracted by a magnet and to act as a magnet?,magnetism
What is the term for something left behind by once-living organisms?,fossils
"Which theorem states that, if a population meets certain conditions, it will be in equilibrium?",hardy-weinberg theorem
Oil is found in the porous rock layer and trapped by the what?,impermeable layer
What happens to the volume of a gas as the kelvin temperature increases?,it increases
"Since electrons are charged, their intrinsic spin creates a what?",intrinsic magnetic field
"In animals, how many sets of chromosomes do gametes have?",one
Wind blown sand contributes to what type of erosion?,abrasion
"The three classes of elements are metals, nonmetals, and what?",metalloids
What makes echinoderms force water into the feet and move forward?,muscle contractions
